Correction,GroundTruth,ORC
uapep,uapep,uapep
on,on,on
the,the,the
studys,studys,studys
concluslons,conclusions,concluslons
the,the,the
task,task,task
group,group,group
belleves,believes,belleves
scenarlos,scenarios,scenarlos
i,i,i
and,and,and
iv,iv,iv
are,are,are
unllkely,unlikely,unllkely
and,and,and
that,that,that
scenarlos,scenarios,scenarlos
ii,ii,ii
and,and,and
iii,iii,iii
are,are,are
most,most,most
probable,probable,probable
nevertheless,nevertheless,nevertheless
scenarlos,scenarios,scenarlos
i,i,i
and,and,and
iv,iv,iv
were,were,were
consldered,considered,consldered
n,in,n
order,order,order
m,to,m
be,be,be
complete,complete,complete
n,in,n
preparlng,preparing,preparlng
for,for,for
the,the,the
studys,studys,studys
release,release,release
sthe,sthe,sthe
chart,chart,chart
below,below,below
summarizes,summarizes,summarlzes
how,how,how
the,the,the
varlous,various,varlous
advocacy,advocacy,advocacy
optlons,options,optlons
that,that,that
the,the,the
task,task,task
group,group,group
has,has,has
consldered,considered,consldered
might,might,mlght
apply,apply,apply
under,under,under
the,the,the
four,four,four
must,uarep,mum
scenarlos,scenarios,scenarlos
mem,iarep,mm
final,final,final
upon,report,upon
possible,possible,possible
scenarios,scenarios,scenarios
major,major,major
problem,problem,problem
widespread,widespread,wldespread
exposure,exposure,exposure
and,and,and
problems,problems,problems
cma,with,mm
dlsease,disease,dlsease
ii,ii,ii
mlnor,minor,mlnor
problem,problem,problem
lelted,limited,lelted
exposure,exposure,exposure
and,and,and
few,few,few
problems,problems,problems
hlth,with,hlth
dlsease,disease,dlsease
iii,iii,iii
incomplete,incomplete,incomplete
data,data,data
no,no,no
concluslons,conclusions,concluslons
need,need,need
for,for,for
addltlonal,additional,addltlonal
data,data,data
collectlon,collection,collectlon
v,iv,v
no,no,no
problem,problem,problem
of,of,of
publlc,public,publlc
health,health,health
parep,parep,parep
scenarios,scenarios,scenarios
i,i,i
ii,ii,ii
iii,iii,iii
iv,iv,iv
x,x,x
x,x,x
cma,cma,cm
optmns,options,optmns
cercla,cercla,cercla
s,s,s
health,health,health
survelllance,surveillance,survelllance
xx,xx,xx
prlvate,private,prlvate
insurance,insurance,insurance
x,x,x
administrative,administrative,admlnlstratlve
fund,fund,fund
x,x,x
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
xx,xx,xx
x,x,x
xx,xx,xx
publlc,public,publlc
health,health,health
survelllance,surveillance,survelllance
at,at,at
waste,waste,waste
sues,sites,sues
most,most,most
of,of,of
the,the,the
proposals,proposals,proposals
related,related,related
to,to,to
victims,victims,victims
compensatlon,compensation,compensatlon
have,have,have
attempted,attempted,attempted
to,to,to
deal,deal,deal
cma,with,mm
the,the,the
issue,issue,lssue
n,in,n
one,one,one
of,of,of
two,two,two
ways,ways,ways
establlsh,establish,establlsh
a,a,a
nofault,nofault,noifault
federal,federal,federal
adminis,adminis,admlnlsi
tratlve,trative,tratlve
fund,fund,fund
to,to,to
relmburse,reimburse,relmburse
alleged,alleged,alleged
victims,victims,victims
and,and,and
change,change,change
exlstlng,existing,exlstlng
tort,tort,tort
law,law,law
to,to,to
shift,shift,shlft
the,the,the
burden,burden,burden
of,of,of
proof,proof,proof
to,to,to
a,a,a
defendant,defendant,defendant
and,and,and
force,force,force
him,him,mm
to,to,to
prove,prove,prove
a,a,a
negatlve,negative,negatlve
the,the,the
task,task,task
group,croup,group
recognized,recognized,recognlzed
that,that,that
both,both,both
of,of,of
these,these,these
changes,changes,changes
were,were,were
attempts,attempts,attempts
to,to,to
deal,deal,deal
cma,with,mm
the,the,the
problem,problem,problem
of,of,of
causatlon,causation,causatlon
or,or,or
the,the,the
relatlonshlp,relationship,relatlonshlp
between,between,between
exposure,exposure,exposure
to,to,to
a,a,a
hazardous,hazardous,hazardous
substance,substance,substance
and,and,and
a,a,a
dlsease,disease,dlsease
causatlon,causation,causatlon
has,has,has
been,been,been
the,the,the
central,central,central
issue,issue,issue
of,of,of
debate,debate,debate
on,on,on
victims,victims,victims
compensatlon,compensation,compensatlon
cma,cma,cm
after,after,after
two,two,two
yeers,yeers,years
of,of,of
struggle,struggle,struggle
cma,with,mm
the,the,the
causatlon,causation,causatlon
issue,issue,issuy
the,the,the
task,task,task
group,group,group
has,has,has
been,been,been
unable,unable,unable
to,to,to
develop,develop,develop
any,any,any
system,system,system
that,that,that
would,would,would
change,change,change
current,current,current
acceptable,acceptable,acceptable
past,past,past
experience,experience,experlence
cma,with,mm
federal,federal,federal
administrative,administrative,admlnlstratlve
funds,funds,funds
clearly,clearly,clearly
lllustrated,illustrated,lllustrated
the,the,the
dangers,dangers,dangers
of,of,of
gradually,gradually,gradually
ncreaslng,increasing,ncreaslng
coverage,coverage,coverage
along,along,along
cma,with,mm
an,an,an
almost,almost,almost
geometrlc,geometric,geometrlc
growth,growth,growth
n,in,n
fund,fund,fund
size,size,slze
changes,changes,changes
in,in,in
burden,burden,burden
of,of,of
proof,proof,proof
does,does,does
a,a,a
real,real,real
danger,danger,danger
that,that,that
such,such,such
a,a,a
change,change,change
n,in,n
the,the,the
tort,tort,tort
law,law,law
will,will,will
be,be,be
carrled,carried,carrled
over,over,over
to,to,to
workers,workers,workers
compensatlon,compensation,compensatlon
and,and,and
product,product,product
llablllty,liability,llablllty
the,the,the
task,task,task
group,group,group
agreed,agreed,agreed
that,that,that
a,a,a
mlddle,middle,mlddle
ground,ground,ground
was,was,was
needed,needed,needed
our,our,our
goal,goal,goal
was,was,was
to,to,to
develop,develop,develop
a,a,a
posltlve,positive,posltlve
program,program,program
chat,chat,chat
would,would,would
deal,deal,deal
hlth,with,hlth
publlc,public,publlc
perceptlons,perceptions,perceptlons
of,of,of
the,the,the
hazardous,hazardous,hazardous
waste,waste,waste
exposure,exposure,exposure
problem,problem,problem
we,we,we
recommend,recommend,recommend
that,that,that
sam,cma,am
support,support,support
a,a,a
revlslon,revision,revlslon
of,of,of
sectlon,section,sectlon
and,and,and
medlcal,medical,medlcal
monltorlng,monitoring,monltorlng
at,at,at
old,old,old
hazardous,hazardous,hazardous
waste,waste,waste
slces,sices,slces
our,our,our
proposed,proposed,proposed
changes,changes,changes
to,to,to
the,the,the
statute,statute,statute
would,would,would
give,give,give
the,the,the
centers,centers,centers
for,for,for
dlsease,disease,dlsease
control,control,control
cdc,cdc,cum
new,new,new
authorlty,authority,authorlty
to,to,to
nvestgate,investigate,nvestgate
health,health,health
concerns,concerns,concerns
around,around,around
waste,waste,waste
sltes,sites,sltes
n,in,n
situations,situations,situations
chat,chat,chat
posed,posed,posed
less,less,less
than,than,than
a,a,a
publlc,public,publlc
health,health,health
emergency,emergency,emergency
only,only,only
publlc,public,publlc
emergencles,emergencies,emergencles
can,can,can
now,now,now
be,be,be
nvestgated,investigated,nvestgated
cma,cdc,cue
would,would,would
be,be,be
able,able,able
to,to,to
conduct,conduct,conduct
health,health,health
status,status,status
surveys,surveys,surveys
and,and,and
screenlng,screening,screenlng
programs,programs,programs
of,of,of
people,people,people
exposed,exposed,exposed
to,to,to
hazardous,hazardous,hazardous
substances,substances,substances
our,our,our
approach,approach,approach
treats,treats,treats
the,the,the
public,public,publmj
perceptlon,perception,perceptlon
that,that,that
old,old,old
waste,waste,waste
slces,sices,slces
are,are,are
causlng,causing,causlng
dlsease,disease,dlsease
and,and,and
lllness,illness,lllness
as,as,as
a,a,a
publlc,public,publlc
health,health,health
problem,problem,problem
rather,rather,rather
than,than,than
a,a,a
problem,problem,problem
of,of,of
how,how,how
to,to,to
dellver,deliver,dellver
compensatlon,compensation,compensatlon
under,under,under
the,the,the
current,current,current
or,or,or
any,any,any
proposed,proposed,proposed
legal,legal,legal
system,system,system
the,the,the
objectives,objectives,objectlves
of,of,of
our,our,our
proposed,proposed,proposed
changes,changes,changes
to,to,to
sectlon,section,sectlon
are,are,are
provlde,provide,provlde
greater,greater,greater
flexlblllty,flexibility,flexlblllty
than,than,than
now,now,now
exists,exists,exlsts
to,to,to
utilize,utilize,utilize
that,that,that
sectlon,section,sectlon
for,for,for
medlcal,medical,medlcal
survelllance,surveillance,survelllance
m,limit,m
the,the,the
survelllance,surveillance,survelllance
to,to,to
ndvduals,individuals,ndvduals
demonstrating,demonstrating,demonstratlng
actual,actual,actual
exposure,exposure,exposure
from,from,from
hazardous,hazardous,hazardous
substances,substances,substances
as,as,as
deflned,defined,deflned
n,in,n
cercla,cercla,cercla
and,and,and
restrlcti,restrict,restrlcti
cma,ing,mg
appllcatlon,application,appllcatlon
of,of,of
tha,tha,tha
sectlon,section,sectlon
to,to,to
site,site,slte
specific,specific,speclflc
exposures,exposures,exposures
from,from,from
old,old,old
sltes,sites,sltes
rather,rather,rather
chan,chan,chan
amblent,ambient,amblent
exposures,exposures,exposures
the,the,the
proposed,proposed,proposed
statutory,statutory,statutory
change,change,change
allows,allows,allows
the,the,the
administrator,administrator,admlnlstrator
w,hew,w
dlscretlon,discretion,dlscretlon
n,in,n
developlng,developing,developlng
the,the,the
protocols,protocols,protocols
be,be,be
better,better,better
advlsed,advised,advlsed
not,not,not
to,to,to
put,put,put
too,too,too
much,much,much
detall,detail,detall
in,in,in
the,the,the
statute,statute,statute
and,end,and
instead,instead,instead
work,work,work
cma,with,mm
the,the,the
appllcable,applicable,appllcable
agency,agency,agency
on,on,on
the,the,the
proper,proper,proper
protocol,protocol,protocol
or,or,or
scheme,scheme,scheme
used,used,used
to,to,to
carry,carry,carry
out,out,out
the,the,the
statutory,statutory,statutory
mandate,mandate,mandate
further,further,further
this,this,thls
approach,approach,approach
allows,allows,allows
us,us,us
to,to,to
bulld,build,bulld
on,on,on
the,the,the
mtn,uaref,man
study,study,study
under,under,under
any,any,any
of,of,of
the,the,the
posslble,possible,posslble
results,results,results
of,of,of
that,that,that
work,work,work
the,the,the
approach,approach,approach
suggested,suggested,suggested
here,here,here
could,could,could
be,be,be
used,used,used
insurance,insurance,insurance
coverage,coverage,coverage
for,for,for
people,people,people
exposed,exposed,exposed
to,to,to
waste,waste,waste
site,site,slte
sub,sub,sub
stances,stances,stances
in,in,in
the,the,the
event,event,event
government,government,government
health,health,health
offlclals,officials,offlclals
determlne,determine,determlne
that,that,that
people,people,people
adjacent,adjacent,adjacent
to,to,to
waste,waste,waste
sltes,sites,sltes
have,have,have
been,been,been
significantly,significantly,slgnlflcantly
exposed,exposed,exposed
to,to,to
hazardous,hazardous,hazardous
substances,substances,substances
the,the,the
longiterm,longterm,longiterm
health,health,health
status,status,status
of,of,of
the,the,the
exposed,exposed,exposed
populatlon,population,populatlon
would,would,would
be,be,be
uncertaln,uncertain,uncertaln
to,to,to
those,those,those
who,who,who
were,were,were
exposed,exposed,exposed
the,the,the
uncertalnty,uncertainty,uncertalnty
of,of,of
contractlng,contracting,contractlng
a,a,a
chronlc,chronic,chronlc
dlsease,disease,dlsease
hill,will,hill
llkely,likely,llkely
perslst,persist,perslst
n,in,n
the,the,the
form,form,fom
of,of,of
fear,fear,fear
and,and,and
anxiety,anxiety,anxlety
cma,cma,cm
pollcles,policies,pollcles
for,for,for
people,people,people
exposed,exposed,exposed
to,to,to
hazardous,hazardous,hazardous
waste,waste,waste
substances,substances,substances
these,these,these
would,would,would
be,be,be
similar,similar,similar
to,to,to
the,the,the
structured,structured,structured
settlements,settlements,settlements
of,of,of
cort,cort,cort
sults,suits,sults
that,that,that
some,some,some
companles,companies,companles
have,have,have
used,used,used
to,to,to
resolve,resolve,resolve
environmental,environmental,envlronmental
lltlgatlon,litigation,lltlgatlon
cases,cases,cases
the,the,the
task,task,task
studying,studying,studylng
further,further,further
whether,whether,whether
federal,federal,federal
government,government,government
involvement,involvement,nvolvement
n,in,n
this,this,thls
matter,matter,matter
would,would,would
be,be,be
approprlate,appropriate,approprlate
the,the,the
nsurance,insurance,nsurance
pollcy,policy,pollcy
would,would,would
apply,apply,apply
to,to,to
people,people,people
exposed,exposed,exposed
to,to,to
waste,waste,waste
site,site,slte
substances,substances,substances
but,but,but
who,who,who
have,have,have
not,not,not
manlfested,manifested,manlfested
dlsease,disease,dlsease
at,at,at
the,the,the
electlon,election,electlon
of,of,of
responslble,responsible,responslble
partles,parties,partles
who,who,who
are,are,are
dented,identified,dented
and,and,and
connected,connected,connected
cma,with,mm
a,a,a
waste,waste,waste
sitethe,sitethe,sltethe
exposed,exposed,exposed
populatlon,population,populatlon
would,would,would
be,be,be
offered,offered,offered
a,a,a
fullypaid,fullypaid,fullyipald
nsurance,insurance,nsurance
pollcy,policy,pollcy
the,this,th
pollcy,policy,pollcy
would,would,would
cover,cover,cover
periodic,periodic,periodic
medlcal,medical,medlcal
testlng,testing,testlng
and,and,and
examlnatlon,examination,examlnatlon
for,for,for
evldence,evidence,evldence
of,of,of
a,a,a
deslgnated,designated,deslgnated
chronlc,chronic,chronlc
dlsease,disease,dlsease
or,or,or
dlseases,diseases,dlseases
llkely,likely,llkely
m,to,m
be,be,be
caused,caused,caused
by,by,by
the,the,the
exposure,exposure,exposure
these,these,these
examinations,examinations,examlnatlons
would,would,would
contlnue,continue,contlnue
for,for,for
the,the,the
s,life,s
of,of,of
the,the,the
individual,individual,ndvdual
if,if,if
the,the,the
dlsease,disease,dlsease
develops,develops,develops
the,the,the
pollcy,policy,pollcy
would,would,would
pay,pay,pay
all,all,all
medlcal,medical,medlcal
expenses,expenses,expenses
lost,lost,lost
wages,wages,wages
or,or,or
earnlngs,earnings,earnlngs
burlal,burial,burlal
expenses,expenses,expenses
and,and,and
a,a,a
lump,lump,lump
sum,sum,sum
for,for,for
anxiety,anxiety,anxlety
and,and,and
psychologlcal,psychological,psychologlcal
trauma,trauma,trauma
assoclated,associated,assoclated
cma,with,mm
the,the,the
dlsease,disease,dlsease
an,an,an
individual,individual,indlvldual
acceptlng,accepting,acceptlng
the,the,the
insurance,insurance,insurance
coverage,coverage,coverage
would,would,would
have,waive,halve
hlsher,hisher,hlsher
tort,tort,tort
rlghts,rights,rlghts
agalnst,against,agalnst
the,the,the
responslble,responsible,responslble
party,party,party
or,or,or
partles,parties,partles
provldlng,providing,provldlng
the,the,the
nsurance,insurance,nsurance
coverage,coverage,coverage
the,the,the
task,task,task
group,group,group
belleves,believes,belleves
the,the,the
prlvate,private,prlvate
party,party,party
nsurance,insurance,nsurance
approach,approach,approach
affords,affords,affords
companles,companies,companles
several,several,several
advantages,advantages,advantages
includlng,including,includlng
reduclng,reducing,reduclng
the,the,the
fear,fear,fear
compo,compo,compo
nent,nent,nent
accompanying,accompanying,accompanylng
the,the,the
exposure,exposure,exposure
two,two,two
of,of,of
these,these,these
advantages,advantages,advantages
are,are,are
ellmlnatlng,eliminating,ellmlnatlng
lltlgatlon,litigation,lltlgatlon
costs,costs,costs
and,and,and
obtalnlng,obtaining,obtalnlng
epldemlology,epidemiology,epldemlology
data,data,data
to,to,to
better,better,better
understand,understand,understand
cause,cause,cause
and,and,and
effect,effect,effect
relatlonshlps,relationships,relatlonshlps
between,between,between
exposure,exposure,exposure
to,to,to
waste,waste,waste
sice,sice,slce
ensues,ensues,ensues
health,health,health
care,care,care
and,and,and
money,money,money
the,the,the
utility,utility,utility
of,of,of
this,this,thls
option,option,option
will,will,will
depend,depend,depend
on,on,on
the,the,the
extent,extent,extent
to,to,to
which,which,whlch
people,people,people
have,have,have
been,been,been
exposed,exposed,exposed
to,to,to
waste,waste,waste
site,site,slte
substances,substances,substances
and,and,and
therefore,therefore,therefore
the,the,the
number,number,number
of,of,of
people,people,people
who,who,who
potentlally,potentially,potentlally
would,would,would
quallfy,qualify,quallfy
for,for,for
this,this,thls
nsurance,insurance,nsurance
plan,plan,plan
the,the,the
task,task,task
group,group,group
plans,plans,plans
to,to,to
work,work,work
hlth,with,hlth
nsurance,insurance,nsurance
representatives,representatives,representatlves
to,to,to
determlne,determine,determlne
the,the,the
costs,costs,costs
of,of,of
this,this,thls
optlon,option,optlon
o,o,o
establlsh,establish,establlsh
a,a,a
separate,separate,separate
system,system,system
to,to,to
compensate,compensate,compensate
people,people,people
for,for,for
chronlc,chronic,chronlc
dlsease,disease,dlsease
caused,caused,caused
by,by,by
waste,waste,waste
sltes,sites,sltes
the,the,the
cask,cask,cask
group,group,group
recommends,recommends,recommends
adoptlon,adoption,adoptlon
of,of,of
the,the,the
concepts,concepts,concepts
and,and,and
prlnclples,principles,prlnclples
provlded,provided,provlded
the,the,the
executlve,executive,executlve
commlttee,committee,commlttee
n,in,n
aprll,april,aprll
cma,cma,cm
would,would,would
be,be,be
prepared,prepared,prepared
to,to,to
argue,argue,argue
chat,chat,chat
the,the,the
prlnclples,principles,prlnclples
of,of,of
eligibility,eligibility,eligibility
damages,damages,damages
causatlon,causation,causatlon
excluslvlty,exclusivity,excluslvlty
fundlng,funding,fundlng
and,and,and
dellvery,delivery,dellvery
mechanlsm,mechanism,mechanlsm
chat,chat,chat
we,we,we
prepared,prepared,prepared
last,last,last
year,year,year
should,should,should
apply,apply,apply
n,in,n
any,any,any
administrative,administrative,admlnlstratlve
fund,fund,fund
that,that,that
the,the,the
government,government,government
trled,tried,trled
to,to,to
set,set,set
up,up,up
the,the,the
task,task,task
group,group,group
has,has,has
modified,modified,modlfled
the,the,the
orlglnal,original,orlglnal
damages,damages,damages
prlnclple,principle,prlnclple
proposed,proposed,proposed
to,to,to
the,the,the
executlve,executive,executlve
commlttee,committee,commlttee
n,in,n
the,the,the
change,change,change
involves,involves,nvolves
capplng,capping,capplng
any,any,any
damages,damages,damages
award,award,award
to,to,to
an,an,an
ellglble,eligible,ellglble
clalmant,claimant,clalmant
and,and,and
entltlement,entitlement,entltlement
programs,programs,programs
other,other,other
than,than,than
for,for,for
damages,damages,damages
the,the,the
waste,waste,waste
compensatlon,compensation,compensatlon
prlnclples,principles,prlnclples
proposed,proposed,proposed
a,a,a
year,year,year
ago,ago,ago
for,for,for
an,an,an
administrative,administrative,admlnlstratlve
fund,fund,fund
remaln,remain,remaln
intact,intact,intact
cma,cma,cm
members,members,bmembers
of,of,of
the,the,the
task,task,task
group,group,group
belleve,believe,belleve
an,an,an
administrative,administrative,admlnlstratlve
fund,fund,fund
for,for,for
hazardous,hazardous,hazardous
waste,waste,waste
compensatlon,compensation,compensatlon
would,would,would
be,be,be
approprlate,appropriate,approprlate
only,only,only
under,under,under
uarep,uarep,uarep
scenarlo,scenario,scenarlo
i,i,i
where,where,where
the,the,the
study,study,study
shoved,shoved,shoved
a,a,a
major,major,major
natlonal,national,natlonal
health,health,health
problem,problem,problem
exists,exists,exlsts
past,past,past
experience,experience,experlence
cma,with,mm
other,other,other
government,government,government
programs,programs,programs
involving,involving,nvolvng
industry,industry,ndustry
financed,financed,flnanced
funds,funds,funds
eg,eg,eg
the,the,the
black,black,black
lung,lung,lung
program,program,program
warrants,warrants,warrants
proceedlng,proceeding,proceedlng
cma,with,mm
an,an,an
administrative,administrative,admlnlstratlve
fund,fund,fund
only,only,only
where,where,where
other,other,other
legal,legal,legal
remedles,remedies,remedles
prove,prove,prove
inadequate,inadequate,nadequate
such,such,such
a,a,a
situation,situation,situation
might,might,mlght
exist,exist,exlst
where,where,where
large,large,large
numbers,numbers,numbers
of,of,of
clalmants,claimants,clalmants
injured,injured,njured
by,by,by
waste,waste,waste
site,site,slte
substances,substances,substances
would,would,would
swamp,swamp,swamp
the,the,the
tort,tort,tort
system,system,system
and,and,and
other,other,other
compensatlon,compensation,compensatlon
alternatlves,alternatives,alternatlves
untll,until,untll
this,this,thls
occurred,occurred,occurred
though,though,though
the,the,the
task,task,task
group,group,group
belleves,believes,belleves
a,a,a
federal,federal,federal
administrative,administrative,admlnlstratlve
fund,fund,fund
should,should,should
be,be,be
avolded,avoided,avolded
of,of,of
actlon,action,actlon
would,would,would
give,give,give
plalntlffs,plaintiffs,plalntlffs
a,a,a
right,right,rlght
of,of,of
access,access,access
to,to,to
federal,federal,federal
courts,courts,courts
to,to,to
pursue,pursue,pursue
thelr,their,thelr
tort,tort,tort
clalms,claims,clalms
for,for,for
injuries,injuries,injurles
recelved,received,recelved
from,from,from
exposure,exposure,exposure
to,to,to
waste,waste,waste
site,site,slte
substances,substances,substances
such,such,such
a,a,a
right,right,rlght
exists,exists,exlsts
today,today,today
under,under,under
federal,federal,federal
statute,statute,statute
for,for,for
many,many,many
clalmants,claimants,clalmants
in,in,in
modified,modified,modlfled
form,form,fom
a,a,a
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
might,might,mlght
be,be,be
accompanled,accompanied,accompanled
by,by,by
other,other,other
elements,elements,elements
affectlng,affecting,affectlng
llablllty,liability,llablllty
such,such,such
as,as,as
causatlon,causation,causatlon
presumptlons,presumptions,presumptlons
shifting,shifting,shlftlng
burdens,burdens,burdens
of,of,of
proof,proof,proof
and,and,and
strlct,strict,strlct
standards,standards,standards
of,of,of
liability,liability,liability
once,once,once
a,a,a
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
became,became,became
law,law,law
court,court,court
nterpretatlon,interpretation,nterpretatlon
and,and,and
congresslonal,congressional,congresslonal
tinkering,tinkering,tlnkerlng
could,could,could
easlly,easily,easlly
modlfy,modify,modlfy
the,the,the
federal,federal,federal
right,right,rlght
as,as,as
orlglnally,originally,orlglnally
concelved,conceived,concelved
by,by,by
congress,congress,congress
and,and,and
adversely,adversely,adversely
affect,affect,affect
companles,companies,companles
llablllty,liability,llablllty
for,for,for
these,these,these
reasons,reasons,reasons
the,the,the
task,task,task
group,group,group
belleves,believes,belleves
there,there,there
are,are,are
significant,significant,significant
rlsks,risks,rlsks
n,in,n
endorslng,endorsing,endorslng
a,a,a
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
provlslon,provision,provlslon
n,in,n
any,any,any
among,among,among
optlons,options,optlons
such,such,such
as,as,as
a,a,a
federal,federal,federal
administrative,administrative,admlnlstratlve
fund,fund,fund
changes,changes,changes
n,in,n
burdens,burdens,burdens
of,of,of
proof,proof,proof
or,or,or
causatlon,causation,causatlon
presumptlons,presumptions,presumptlons
the,the,the
task,task,task
group,group,group
would,would,would
prefer,prefer,prefer
a,a,a
clean,clean,clean
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
t,t,t
j,j,j
i,i,i
i,i,i
i,i,i
i,j,i
a,a,a
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
might,might,mlght
be,be,be
approprlate,appropriate,approprlate
under,under,under
any,any,any
of,of,of
the,the,the
four,four,four
must,uarep,mum
scenarlos,scenarios,scenarlos
dependlng,depending,dependlng
upon,upon,upon
other,other,other
leglslatlve,legislative,leglslatlve
proposals,proposals,proposals
in,in,in
contrast,contrast,contrast
to,to,to
the,the,the
recommended,recommended,recommended
cercla,cercla,cercla
sectlon,section,sectlon
change,change,change
cma,cma,cm
would,would,would
be,be,be
mnore,more,mnore
hesltant,hesitant,hesltant
to,to,to
advocate,advocate,advocate
adoptlon,adoption,adoptlon
of,of,of
a,a,a
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
most,most,most
other,other,other
more,more,more
onerous,onerous,onerous
leglslatlve,legislative,leglslatlve
proposals,proposals,proposals
cma,cma,cm
iii,iii,iii
workplace,workplace,workplace
disease,disease,disease
comments,compensation,commsnmu
background,background,background
the,the,the
workers,workers,workers
compensatlon,compensation,compensatlon
laws,laws,laws
of,of,of
all,all,all
states,states,states
provlde,provide,provlde
broad,broad,broad
coverage,coverage,coverage
for,for,for
dlsablllty,disability,dlsablllty
or,or,or
death,death,death
due,due,due
to,to,to
occupationally,occupationally,occupatlonally
related,related,related
dlsease,disease,dlsease
the,the,the
administrative,administrative,admlnlstratlve
system,system,system
n,in,n
place,place,place
n,in,n
the,the,the
states,states,states
are,are,are
falrly,fairly,falrly
efflclent,efficient,efflclent
n,in,n
thelr,their,thelr
operatlons,operations,operatlons
and,and,and
are,are,are
deslgned,designed,deslgned
m,to,m
dellver,deliver,dellver
prompt,prompt,prompt
benefits,benefits,beneflts
at,at,at
a,a,a
low,low,low
transactlon,transaction,transactlon
cost,cost,cost
beneflt,benefit,beneflt
fundlng,funding,fundlng
mechanisms,mechanisms,mechanlsms
n,in,n
use,use,use
by,by,by
selfinsured,selfinsured,selcqnsured
employers,employers,employers
and,and,and
insurance,insurance,insurance
carrlers,carriers,carrlers
are,are,are
rellable,reliable,rellable
and,and,and
reasonably,reasonably,reasonably
efflclent,efficient,efflclent
no,no,no
state,state,state
program,program,program
has,has,has
yet,yet,yet
experlenced,experienced,experlenced
unmanageable,unmanageable,unmanageable
numbers,numbers,numbers
of,of,of
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
clalms,claims,clalms
rule,while,mule
the,the,the
exlstlng,existing,exlstlng
workplace,workplace,workplace
beneflt,benefit,beneflt
systems,systems,systems
are,are,are
sound,sound,sound
there,there,there
has,has,has
been,been,been
a,a,a
growing,growing,growlng
perceptlon,perception,perceptlon
that,that,that
workplace,workplace,workplace
dlsease,disease,dlsease
vlctlms,victims,vlctlms
are,are,are
not,not,not
treated,treated,treated
falrly,fairly,falrly
under,under,under
workers,workers,workers
compensatlon,compensation,compensatlon
laws,laws,laws
although,although,although
state,state,state
laws,laws,laws
vary,vary,vary
amounts,amounts,amounts
paid,paid,paid
are,are,are
coo,coo,coo
low,low,low
that,that,that
arbltrary,arbitrary,arbltrary
notlce,notice,notlce
and,and,and
filing,filing,filing
llmltatlons,limitations,llmltatlons
operate,operate,operate
to,to,to
bar,bar,bar
many,many,many
otherwlse,otherwise,otherwlse
valld,valid,valld
clalms,claims,clalms
and,and,and
chat,chat,chat
some,some,some
or,or,or
all,all,all
of,of,of
these,these,these
vlews,views,vlews
are,are,are
shared,shared,shared
by,by,by
organlzed,organized,organlzed
labor,labor,labor
some,some,some
other,other,other
employee,employee,employee
groups,groups,groups
some,some,some
employers,employers,employers
some,some,some
leglslators,legislators,leglslators
and,and,and
some,some,some
promlnent,prominent,promlnent
academlclans,academicians,academlclans
workplace,workplace,workplace
dlsease,disease,dlsease
clalms,claims,clalms
are,are,are
cma,with,mm
ncreaslng,increasing,ncreaslng
frequency,frequency,frequency
finding,finding,finding
thelr,their,thelr
way,way,way
nto,into,nto
the,the,the
tort,tort,tort
system,system,system
in,in,in
the,the,the
case,case,case
of,of,of
a,a,a
workplace,workplace,workplace
exposure,exposure,exposure
to,to,to
a,a,a
known,known,known
or,or,or
suspected,suspected,suspected
toxic,toxic,toxlc
substance,substance,substance
a,a,a
tort,tort,tort
theory,theory,theory
of,of,of
recovery,recovery,recovery
may,may,may
be,be,be
sustalned,sustained,sustalned
agalnst,against,agalnst
a,a,a
manufacturer,manufacturer,manufacturer
of,of,of
the,the,the
substance,substance,substance
or,or,or
n,in,n
some,some,some
nstances,instances,nstances
agalnst,against,agalnst
the,the,the
employer,employer,employer
itself,itself,itself
on,on,on
the,the,the
basls,basis,basls
of,of,of
tradltlonal,traditional,tradltlonal
products,products,products
llablllty,liability,llablllty
concepts,concepts,concepts
or,or,or
varlous,various,varlous
creatlve,creative,creatlve
theorles,theories,theorles
which,which,whlch
seek,seek,seek
to,to,to
avold,avoid,avold
the,the,the
excluslve,exclusive,excluslve
remedy,remedy,remedy
protectlons,protections,protectlons
n,in,n
state,state,state
workers,workers,workers
compensatlon,compensation,compensatlon
laws,laws,laws
hlgher,higher,hlgher
attorneys,attorneys,attorneys
fees,fees,fees
and,and,and
sympathetic,sympathetic,sympathetlc
jury,jury,jury
verdlcts,verdicts,verdlcts
appears,appears,appears
to,to,to
be,be,be
a,a,a
reform,reform,reform
activities,activities,actlvltles
dissatisfaction,dissatisfaction,dlssatlsfactlon
hlth,with,hlth
the,the,the
exlstlng,existing,exlstlng
workers,workers,workers
compensatlon,compensation,compensatlon
systems,systems,systems
of,of,of
the,the,the
states,states,states
coupled,coupled,coupled
vlth,vlth,vlth
the,the,the
